Date,Adj Close,Year,,,Year,First Close,Last Close,Return for Year,Total Return 20 Years,Average Return 20 Years
1/3/1950,16.66,1950,,,1950,16.66,20.43,22.63%,,
1/4/1950,16.85,1950,,,1951,20.77,23.77,14.44%,,
1/5/1950,16.93,1950,,,1952,23.799999,26.57,11.64%,,
1/6/1950,16.98,1950,,,1953,26.540001,24.81,-6.52%,,
1/9/1950,17.08,1950,,,1954,24.950001,35.98,44.21%,,
1/10/1950,17.030001,1950,,,1955,36.75,45.48,23.76%,,
1/11/1950,17.09,1950,,,1956,45.16,46.67,3.34%,,
1/12/1950,16.76,1950,,,1957,46.200001,39.99,-13.44%,,
1/13/1950,16.67,1950,,,1958,40.330002,55.21,36.90%,,
1/16/1950,16.719999,1950,,,1959,55.439999,59.89,8.03%,,
1/17/1950,16.860001,1950,,,1960,59.91,58.11,-3.00%,,
1/18/1950,16.85,1950,,,1961,57.57,71.55,24.28%,,
1/19/1950,16.870001,1950,,,1962,70.959999,63.10,-11.08%,,
1/20/1950,16.9,1950,,,1963,62.689999,75.02,19.67%,,
1/23/1950,16.92,1950,,,1964,75.43,84.75,12.36%,,
1/24/1950,16.860001,1950,,,1965,84.230003,92.43,9.74%,,
1/25/1950,16.74,1950,,,1966,92.18,80.33,-12.86%,,
1/26/1950,16.73,1950,,,1967,80.379997,96.47,20.02%,,
1/27/1950,16.82,1950,,,1968,96.110001,103.86,8.06%,,
1/30/1950,17.02,1950,,,1969,103.93,92.06,-11.42%,,
1/31/1950,17.049999,1950,,,1970,93,92.15,-0.91%,458.22%,9.52%
2/1/1950,17.049999,1950,,,1971,91.150002,102.09,12.00%,338.85%,9.01%
2/2/1950,17.23,1950,,,1972,101.669998,118.05,16.11%,327.18%,9.09%
2/3/1950,17.290001,1950,,,1973,119.099998,97.55,-18.09%,348.76%,7.67%
2/6/1950,17.32,1950,,,1974,97.68,68.56,-29.81%,291.50%,6.56%
2/7/1950,17.23,1950,,,1975,70.230003,90.19,28.42%,91.10%,5.81%
2/8/1950,17.209999,1950,,,1976,90.900002,107.46,18.22%,101.28%,5.55%
2/9/1950,17.280001,1950,,,1977,107,95.10,-11.12%,131.60%,4.86%
2/10/1950,17.24,1950,,,1978,93.82,96.11,2.44%,132.63%,5.62%
2/14/1950,17.059999,1950,,,1979,96.730003,107.94,11.59%,74.48%,4.41%
2/15/1950,17.059999,1950,,,1980,105.760002,135.76,28.37%,76.53%,5.38%
2/16/1950,16.99,1950,,,1981,136.339996,122.55,-10.11%,136.82%,5.04%
2/17/1950,17.15,1950,,,1982,122.739998,140.64,14.58%,72.97%,4.58%
2/20/1950,17.200001,1950,,,1983,138.339996,164.93,19.22%,120.67%,6.02%
2/21/1950,17.17,1950,,,1984,164.039993,167.24,1.95%,117.47%,5.18%
2/23/1950,17.209999,1950,,,1985,165.369995,211.28,27.76%,96.33%,5.91%
2/24/1950,17.280001,1950,,,1986,209.589996,242.17,15.54%,127.37%,6.19%
2/27/1950,17.280001,1950,,,1987,246.449997,247.08,0.26%,206.61%,6.81%
2/28/1950,17.219999,1950,,,1988,255.940002,277.72,8.51%,166.30%,6.26%
3/1/1950,17.24,1950,,,1989,275.309998,353.40,28.36%,164.90%,7.23%
3/2/1950,17.23,1950,,,1990,359.690002,330.22,-8.19%,286.76%,7.39%
3/3/1950,17.290001,1950,,,1991,326.450012,417.09,27.77%,258.15%,8.75%
3/6/1950,17.32,1950,,,1992,417.26001,435.71,4.42%,310.41%,8.39%
3/7/1950,17.200001,1950,,,1993,435.380005,466.45,7.14%,265.56%,7.96%
3/8/1950,17.190001,1950,,,1994,465.440002,459.27,-1.33%,376.49%,8.76%
3/9/1950,17.07,1950,,,1995,459.109985,615.93,34.16%,553.72%,11.81%
3/10/1950,17.09,1950,,,1996,620.72998,740.74,19.33%,582.87%,11.37%
3/13/1950,17.120001,1950,,,1997,737.01001,970.43,31.67%,588.79%,12.02%
3/14/1950,17.25,1950,,,1998,975.039978,1229.23,26.07%,939.27%,13.79%
3/15/1950,17.450001,1950,,,1999,1228.099976,1469.25,19.64%,1169.62%,14.60%
3/16/1950,17.49,1950,,,2000,1455.219971,1320.28,-9.27%,1275.96%,13.61%
3/17/1950,17.450001,1950,,,2001,1283.27002,1148.08,-10.53%,841.23%,11.76%
3/20/1950,17.440001,1950,,,2002,1154.670044,879.82,-23.80%,840.74%,11.11%
3/21/1950,17.450001,1950,,,2003,909.030029,1111.92,22.32%,557.10%,11.48%
3/22/1950,17.549999,1950,,,2004,1108.47998,1211.92,9.33%,575.74%,11.00%
3/23/1950,17.559999,1950,,,2005,1202.079956,1248.29,3.84%,626.90%,11.09%
3/24/1950,17.559999,1950,,,2006,1268.800049,1418.30,11.78%,505.37%,10.33%
3/27/1950,17.459999,1950,,,2007,1416.599976,1468.36,3.65%,474.80%,9.77%
3/28/1950,17.530001,1950,,,2008,1447.160034,903.25,-37.58%,465.43%,7.97%
3/29/1950,17.440001,1950,,,2009,931.799988,1115.10,19.67%,238.45%,8.50%
3/30/1950,17.299999,1950,,,2010,1132.98999,1257.64,11.00%,214.99%,7.67%
3/31/1950,17.290001,1950,,,2011,1271.869995,1257.60,-1.12%,289.61%,8.01%
