Time,Open,High,Low,Last,Change,%Chg,Volume
09/12/2024,5557.48,5573.08,5535.5,5554.73,0.6,+0.01%,941395939
09/11/2024,5496.42,5560.41,5406.96,5554.13,58.61,+1.07%,2798708651
09/10/2024,5490.51,5497.91,5441.72,5495.52,24.47,+0.45%,2530774046
09/09/2024,5442.07,5484.2,5434.49,5471.05,62.63,+1.16%,2563088575
09/06/2024,5507.33,5522.47,5402.62,5408.42,-94.99,-1.73%,2796173257
09/05/2024,5520.08,5546.3,5480.54,5503.41,-16.66,-0.30%,2438758429
09/04/2024,5506.68,5552.99,5503.66,5520.07,-8.86,-0.16%,2476388898
09/03/2024,5623.89,5623.89,5504.33,5528.93,-119.47,-2.12%,2889025715
08/30/2024,5612.74,5651.37,5581.79,5648.4,56.44,+1.01%,2762259722
08/29/2024,5607.3,5646.95,5583.71,5591.96,-0.22,0.00%,2310418093
08/28/2024,5624.51,5627.03,5560.95,5592.18,-33.62,-0.60%,2132471376
08/27/2024,5602.89,5631.18,5593.48,5625.8,8.96,+0.16%,1976075739
08/26/2024,5639.66,5651.62,5602.34,5616.84,-17.77,-0.32%,2001282879
08/23/2024,5602.49,5641.82,5585.16,5634.61,63.97,+1.15%,2202182799
08/22/2024,5637.77,5643.22,5560.95,5570.64,-50.21,-0.89%,2194647052
08/21/2024,5603.09,5632.68,5591.57,5620.85,23.73,+0.42%,2012469478
08/20/2024,5602.88,5620.51,5585.5,5597.12,-11.13,-0.20%,2107090596
08/19/2024,5557.23,5608.3,5550.74,5608.25,54,+0.97%,2087595197
08/16/2024,5530.5,5561.98,5525.17,5554.25,11.03,+0.20%,2268720418
08/15/2024,5501.13,5546.23,5501.13,5543.22,88.01,+1.61%,2634228527
08/14/2024,5442.36,5463.22,5415.91,5455.21,20.78,+0.38%,2314941339
08/13/2024,5376.98,5436.5,5376.98,5434.43,90.04,+1.68%,2570811508
08/12/2024,5351.88,5371.2,5324.37,5344.39,0.23,0.00%,2260298271
08/09/2024,5314.66,5358.67,5300.84,5344.16,24.85,+0.47%,2166862146
08/08/2024,5252.57,5328.03,5233.85,5319.31,119.81,+2.30%,2678076619
08/07/2024,5293.13,5330.64,5195.54,5199.5,-40.53,-0.77%,2941853299
08/06/2024,5206.42,5312.34,5193.56,5240.03,53.7,+1.04%,3151389904
08/05/2024,5151.14,5250.89,5119.26,5186.33,-160.23,-3.00%,3980390351
08/02/2024,5376.63,5383.89,5302.03,5346.56,-100.12,-1.84%,3978703316
08/01/2024,5537.84,5566.16,5410.42,5446.68,-75.62,-1.37%,3418904485
07/31/2024,5505.59,5551.51,5493.75,5522.3,85.86,+1.58%,3414671559
07/30/2024,5478.73,5489.46,5401.7,5436.44,-27.1,-0.50%,2986625387
07/29/2024,5476.55,5487.74,5444.44,5463.54,4.44,+0.08%,2365507845
07/26/2024,5433.67,5488.32,5430.7,5459.1,59.88,+1.11%,2629669887
07/25/2024,5428.7,5491.59,5390.95,5399.22,-27.91,-0.51%,3527915379
07/24/2024,5505.84,5508.04,5419.98,5427.13,-128.61,-2.31%,3019958131
07/23/2024,5565.3,5585.34,5550.9,5555.74,-8.67,-0.16%,2396798167
07/22/2024,5544.54,5570.36,5529.04,5564.41,59.41,+1.08%,2510186143
07/19/2024,5543.37,5557.5,5497.04,5505,-39.59,-0.71%,2649395359
07/18/2024,5608.56,5614.05,5522.81,5544.59,-43.68,-0.78%,2925863797
07/17/2024,5610.07,5622.49,5584.81,5588.27,-78.93,-1.39%,3147941670
07/16/2024,5644.09,5669.67,5639.02,5667.2,35.98,+0.64%,2531434039
07/15/2024,5638.16,5666.94,5614.75,5631.22,15.87,+0.28%,2413952993
07/12/2024,5590.76,5655.56,5590.44,5615.35,30.81,+0.55%,2518289932
07/11/2024,5635.21,5642.45,5576.53,5584.54,-49.37,-0.88%,2891782852
07/10/2024,5591.26,5635.39,5586.44,5633.91,56.93,+1.02%,2293787875
07/09/2024,5584.24,5590.75,5574.57,5576.98,4.13,+0.07%,2410304329
07/08/2024,5572.75,5583.11,5562.51,5572.85,5.66,+0.10%,2367962923
07/05/2024,5537.91,5570.33,5531.63,5567.19,30.17,+0.54%,2251076552
07/03/2024,5507.44,5539.27,5507.42,5537.02,28.01,+0.51%,1549367174
07/02/2024,5461.84,5509.69,5458.43,5509.01,33.92,+0.62%,2304047725
07/01/2024,5471.08,5479.55,5446.53,5475.09,14.61,+0.27%,2405261991
06/28/2024,5488.48,5523.64,5451.12,5460.48,-22.39,-0.41%,4191113989
06/27/2024,5473.59,5490.81,5467.54,5482.87,4.97,+0.09%,2481421661
06/26/2024,5460.71,5483.14,5451.87,5477.9,8.6,+0.16%,2559078106
06/25/2024,5460.73,5472.88,5446.56,5469.3,21.43,+0.39%,2591287124
06/24/2024,5459.58,5490.66,5447.59,5447.87,-16.75,-0.31%,2764542196
06/21/2024,5466.77,5478.31,5452.03,5464.62,-8.55,-0.16%,5262188426
06/20/2024,5499.99,5505.53,5455.56,5473.17,-13.86,-0.25%,2910277019
06/18/2024,5476.15,5490.38,5471.32,5487.03,13.8,+0.25%,2461866815
06/17/2024,5431.11,5488.5,5420.4,5473.23,41.63,+0.77%,2420148034
06/14/2024,5424.08,5432.39,5403.75,5431.6,-2.14,-0.04%,2243055474
06/13/2024,5441.93,5441.93,5402.51,5433.74,12.71,+0.23%,2400335831
06/12/2024,5409.13,5447.25,5409.13,5421.03,45.71,+0.85%,2704467405
06/11/2024,5353,5375.95,5327.25,5375.32,14.53,+0.27%,2348465741
06/10/2024,5341.22,5365.79,5331.52,5360.79,13.8,+0.26%,2429865093
06/07/2024,5343.81,5375.08,5331.33,5346.99,-5.97,-0.11%,1858111620
06/06/2024,5357.8,5362.35,5335.36,5352.96,-1.07,-0.02%,2010878169
06/05/2024,5314.48,5354.16,5297.64,5354.03,62.69,+1.18%,2146262616
06/04/2024,5278.24,5298.8,5257.63,5291.34,7.94,+0.15%,2164149777
06/03/2024,5297.15,5302.11,5234.32,5283.4,5.89,+0.11%,2302964768
05/31/2024,5243.21,5280.33,5191.68,5277.51,42.03,+0.80%,3930922654
05/30/2024,5259.77,5260.21,5222.1,5235.48,-31.47,-0.60%,2316855451
05/29/2024,5278.73,5282.27,5262.7,5266.95,-39.09,-0.74%,2213572737
05/28/2024,5315.91,5315.91,5280.89,5306.04,1.32,+0.02%,2103027432
05/24/2024,5281.45,5311.65,5278.39,5304.72,36.88,+0.70%,1743354318
05/23/2024,5340.26,5341.88,5256.93,5267.84,-39.17,-0.74%,2290682207
05/22/2024,5319.28,5323.18,5286.01,5307.01,-14.4,-0.27%,2079437184
05/21/2024,5298.69,5324.32,5297.87,5321.41,13.28,+0.25%,1974321300
05/20/2024,5305.35,5325.32,5302.4,5308.13,4.86,+0.09%,1832281783
05/17/2024,5303.1,5305.45,5283.59,5303.27,6.17,+0.12%,1967120185
05/16/2024,5310.07,5325.49,5296.19,5297.1,-11.05,-0.21%,2212538542
05/15/2024,5263.26,5311.76,5263.26,5308.15,61.47,+1.17%,2309693551
05/14/2024,5221.1,5250.37,5217.98,5246.68,25.26,+0.48%,2029372117
05/13/2024,5233.08,5237.26,5211.16,5221.42,-1.26,-0.02%,1947454376
05/10/2024,5225.49,5239.66,5209.68,5222.68,8.6,+0.16%,1883332754
05/09/2024,5189.03,5215.3,5180.41,5214.08,26.41,+0.51%,1972154705
05/08/2024,5168.98,5191.95,5165.86,5187.67,-0.03,0.00%,2091022880
05/07/2024,5187.2,5200.23,5178.96,5187.7,6.96,+0.13%,2275796703
05/06/2024,5142.42,5181,5142.42,5180.74,52.95,+1.03%,2174332915
05/03/2024,5122.78,5139.12,5101.22,5127.79,63.59,+1.26%,2441285064
05/02/2024,5049.32,5073.21,5011.05,5064.2,45.81,+0.91%,2622597256
05/01/2024,5029.03,5096.12,5013.45,5018.39,-17.3,-0.34%,2863485285
04/30/2024,5103.78,5110.83,5035.31,5035.69,-80.48,-1.57%,2776658379
04/29/2024,5114.13,5123.49,5088.65,5116.17,16.21,+0.32%,2337162842
